Time,Load,TotalPower,Diesel,Solar,Wind,RemainingPower,V2G
0.377692189,1.221861192,1.133544671,-0.143496942,-0.001245234,1.278286847,-0.088316521,1.41862E-06
0.380396869,1.221898194,1.111726962,-0.165344208,-0.001247149,1.278318319,-0.110171232,1.41685E-06
0.38310155,1.22188303,1.152606833,-0.124705945,-0.001226554,1.278539332,-0.069276197,1.41545E-06
0.385806231,1.222315125,1.230876807,-0.047251957,-0.001196995,1.279325759,0.008561682,1.41533E-06
0.388510912,1.223376133,1.29737176,0.017889114,-0.00117758,1.280660227,0.073995627,1.41654E-06
0.391215592,1.224818939,1.311863223,0.030890198,-0.001180329,1.282153354,0.087044284,1.41827E-06
0.393920273,1.226140018,1.269167523,-0.012937988,-0.001202464,1.283307976,0.043027505,1.41938E-06
0.396624954,1.226915589,1.201644005,-0.080974964,-0.001228593,1.283847562,-0.025271584,1.41916E-06
0.399329635,1.227077499,1.157050649,-0.125600481,-0.001241097,1.283892227,-0.07002685,1.41781E-06
0.402034316,1.22694956,1.166884207,-0.115754815,-0.001231731,1.283870753,-0.060065353,1.41624E-06
0.404738996,1.227026423,1.22617372,-0.056852234,-0.001206792,1.284232746,-0.000852704,1.41549E-06
0.407443677,1.227645997,1.297663217,0.013691639,-0.001182646,1.285154225,0.070017221,1.41604E-06
0.410148358,1.228772322,1.337024161,0.051769511,-0.001174758,1.286429407,0.108251839,1.4175E-06
0.412853039,1.230028369,1.322055347,0.035627966,-0.001187583,1.287614964,0.092026978,1.41891E-06
0.41555772,1.230951359,1.266651017,-0.020463337,-0.001211918,1.288326271,0.035699658,1.41934E-06
0.4182624,1.231298093,1.210781712,-0.07647505,-0.001231263,1.288488026,-0.020516381,1.41855E-06
0.420967081,1.231199109,1.193660585,-0.093482834,-0.001232813,1.288376232,-0.037538524,1.41709E-06
0.423671762,1.231064396,1.228090976,-0.05912248,-0.001215748,1.288429205,-0.00297342,1.41594E-06
0.426376443,1.231308509,1.292757554,0.004992015,-0.001191483,1.288957022,0.061449045,1.41585E-06
0.429081123,1.232079361,1.347050018,0.058283884,-0.001175888,1.289942021,0.114970656,1.41686E-06
0.431785804,1.233168079,1.358140378,0.068260534,-0.00117878,1.291058625,0.124972298,1.41829E-06
0.434490485,1.234154588,1.322274019,0.031577485,-0.001197648,1.291894183,0.088119431,1.41919E-06
0.437195166,1.23468798,1.266483918,-0.024517931,-0.001219594,1.292221443,0.031795938,1.419E-06
0.439899847,1.234714789,1.230106778,-0.060806154,-0.001230042,1.292142975,-0.004608011,1.41788E-06
0.442604527,1.234506939,1.238717285,-0.052076519,-0.001222328,1.292016131,0.004210345,1.41659E-06
0.445309208,1.234476011,1.287736607,-0.003274661,-0.001201863,1.292213131,0.053260595,1.41598E-06
0.448013889,1.234900646,1.346198489,0.054503451,-0.001182298,1.292877336,0.111297843,1.41644E-06
0.45071857,1.235747579,1.377693728,0.08503483,-0.001176372,1.29383527,0.141946149,1.41765E-06
